0,100,Седан,2015,Автоматическая,Черный,Бензин,Отличное,1,68 600 км,2 см³,
3 900 000 тг.,58,Седан,2015,Механическая,Асфальт,Бензин,Отличное,1,16 см³,0,
0,119,Седан,2005,Механическая,Черный,Бензин,Хорошее,250 000 км,1 500 см³,0,
650 000 тг.,40,Седан,2008,Механическая,Вишнёвый,Бензин,Отличное,1,164 000 км,15 см³,
3 000 000 тг.,669,Седан,2005,Автоматическая,Серебристый,Бензин,Хорошее,255 000 км,3 см³,0,
1 200 000 тг.,58,Седан,2007,Механическая,Золотой,Бензин,Хорошее,1 600 см³,0,0,
0,10,Седан,2006,Механическая,Синий,Бензин,Хорошее,2,150 000 км,16 см³,
3 600 000 тг.,1830,Седан,2008,Автоматическая,Белый,Бензин,Отличное,1,169 000 км,2 500 см³,
150 000 тг.,37,Седан,2007,Автоматическая,Золотой,Другой,Хорошее,1,2 см³,0,
150 000 тг.,47,Седан,2006,Автоматическая,Черный,Другой,Хорошее,1,2 см³,0,
2 600 000 тг.,472,Седан,2018,Механическая,Черный,Бензин,Отличное,1,48 000 км,16 см³,
0,61,Седан,2013,Автоматическая,Белый,Бензин,Хорошее,1,108 000 км,1 600 см³,
0,71,Седан,2015,Механическая,Белый,Бензин,Отличное,16 см³,0,0,
2 600 000 тг.,3509,Седан,2007,Автоматическая,Черный,Бензин,Отличное,1,2 см³,0,
3 600 000 тг.,990,Седан,2009,Автоматическая,Черный,Бензин,Отличное,2,124 000 км,25 см³,
2 500 000 тг.,11908,Седан,2013,Механическая,Синий,Бензин,Отличное,1 600 см³,0,0,
3 600 000 тг.,2131,Седан,2007,Автоматическая,Синий,Бензин,Отличное,173 000 км,3 200 см³,0,
2 600 000 тг.,132,Седан,2006,Автоматическая,Серебристый,Бензин,Отличное,2 400 см³,0,0,
1 900 000 тг.,960,Седан,2014,Механическая,Черный,Бензин,Хорошее,2,88 000 км,1 600 см³,
3 700 000 тг.,10016,Седан,2011,Автоматическая,Серебристый,Бензин,Отличное,1,140 000 км,1 600 см³,
900 000 тг.,12512,Седан,2008,Механическая,Черный,Бензин,Отличное,2,185 000 км,1 600 см³,
1 650 000 тг.,133,Седан,2015,Механическая,Голубой,Бензин,Хорошее,1,108 км,16 см³,
0,141,Седан,2015,Механическая,Белый,Бензин,Отличное,1,106 000 км,1 800 см³,
0,313,Седан,2012,Автоматическая,Серебристый,Бензин,Отличное,1,16 см³,0,
100 000 тг.,697,Седан,2006,Механическая,Белый,Бензин,Среднее,2,111 км,24 см³,
250 000 тг.,3178,Седан,2007,Механическая,Серый,Бензин,Требует ремонта,2,15 см³,0,
0,170,Седан,2008,Механическая,Серебристый,Бензин,Хорошее,3,208 000 км,1 600 см³,
0,2344,Седан,2008,Механическая,Синий,Бензин,Требует ремонта,15 см³,0,0,
6 500 000 тг.,3958,Седан,2007,Автоматическая,Синий,Бензин,Отличное,2,175 000 км,3 см³,
6 800 000 тг.,3100,Седан,2017,Автоматическая,Синий,Бензин,Отличное,1,13 000 км,15 см³,
0,91,Седан,2005,Механическая,Белый,Бензин,Отличное,2,15 см³,0,
1 050 000 тг.,75,Седан,2007,Механическая,Серый,Бензин,Хорошее,1 см³,0,0,
1 520 000 тг.,161,Седан,2013,Механическая,Белый,Бензин,Хорошее,2,16 см³,0,
0,790,Седан,2005,Механическая,Черный,Бензин,Хорошее,1,1 500 см³,0,
0,1594,Седан,2010,Автоматическая,Черный,Бензин,Среднее,3,69 000 км,14 см³,
0,9039,Седан,2014,Механическая,Черный,Бензин,Отличное,2,120 000 км,1 800 см³,
3 900 000 тг.,7531,Седан,2019,Механическая,Белый,Бензин,Отличное,1,13 800 км,1 600 см³,
4 000 000 тг.,96,Седан,2015,Автоматическая,Белый,Бензин,Отличное,1,16 см³,0,
0,716,Седан,2018,Автоматическая,Белый,Бензин,Требует ремонта,1,1 600 см³,0,
500 000 тг.,203,Седан,2012,Механическая,Черный,Бензин,Отличное,1,120 000 км,16 см³,
600 000 тг.,910,Седан,2010,Механическая,Серебристый,Бензин,Отличное,1,25 см³,0,
900 000 тг.,2328,Седан,2008,Механическая,Черный,Бензин,Отличное,2,255 000 км,1 600 см³,
100 000 тг.,719,Седан,2006,Автоматическая,Золотой,Бензин,Хорошее,24 см³,0,0,
2 600 000 тг.,92,Седан,2008,Автоматическая,Серый,Бензин,Отличное,3,167 000 км,1 800 см³,
1 700 000 тг.,18,Седан,2012,Механическая,Серебристый,Бензин,Хорошее,1,68 000 км,98 см³,
3 200 000 тг.,106,Седан,2013,Механическая,Черный,Бензин,Отличное,2,150 000 км,16 см³,
1 050 000 тг.,22,Седан,2012,Механическая,Серый,Бензин,Среднее,2,160 000 км,15 см³,
0,7687,Седан,2016,Механическая,Коричневый,Бензин,Отличное,70 900 км,16 см³,0,
150 000 тг.,87,Седан,2014,Механическая,Черный,Бензин,Отличное,1,1 600 см³,0,
1 850 000 тг.,85,Седан,2012,Механическая,Белый,Бензин,Отличное,1 см³,0,0,
0,134,Седан,2013,Механическая,Белый,Бензин,Отличное,2,200 000 км,16 см³,
0,112,Седан,2008,Автоматическая,Асфальт,Бензин,Отличное,24 см³,0,0,
0,79,Седан,2012,Автоматическая,Белый,Бензин,Отличное,179 000 км,1 см³,0,
1 100 000 тг.,11324,Седан,2013,Механическая,Черный,Бензин,Среднее,1,100 000 км,1 500 см³,
2 000 000 тг.,7810,Седан,2008,Механическая,Черный,Бензин,Хорошее,3,150 000 км,16 см³,
650 000 тг.,37,Седан,2007,Механическая,Бежевый,Бензин,Хорошее,1,277 700 км,16 см³,
200 000 тг.,2953,Седан,2019,Автоматическая,Черный,Бензин,Отличное,1,2 500 см³,0,
0,102,Седан,2009,Автоматическая,Белый,Бензин,Отличное,25 см³,0,0,
0,825,Седан,2014,Автоматическая,Белый,Бензин,Отличное,1,14 000 км,2 см³,
640 000 тг.,26,Седан,2007,Механическая,Бежевый,Бензин,Хорошее,1,277 632 км,16 см³,
1 500 000 тг.,33,Седан,2013,Механическая,Белый,Бензин,Хорошее,1,150 000 км,15 см³,
3 200 000 тг.,2088,Седан,2014,Механическая,Черный,Бензин,Отличное,1,100 000 км,16 см³,
450 000 тг.,226,Седан,2008,Механическая,Синий,Бензин,Отличное,3,15 см³,0,
430 000 тг.,97,Седан,2006,Механическая,Синий,Бензин,Хорошее,15 см³,0,0,
820 000 тг.,893,Седан,2010,Механическая,Серый,Бензин,Хорошее,16 см³,0,0,
7 700 000 тг.,76,Седан,2015,Автоматическая,Белый,Бензин,Хорошее,2,120 000 км,2 см³,
380 000 тг.,57,Седан,2006,Механическая,Белый,Бензин,Хорошее,1,1 600 см³,0,
